time_exchange;time_coinapi;guid;price;base_amount;taker_side
2019-06-08T00:00:03.626000000;2019-06-08T00:00:02.990882944;13;248.82;2.7967;SELL
2019-06-08T00:00:03.632000000;2019-06-08T00:00:02.990882944;14;248.85;1.22656;BUY
2019-06-08T00:00:03.975000000;2019-06-08T00:00:02.990882944;49;248.78;0.08794;SELL
2019-06-08T00:00:06.177000000;2019-06-08T00:00:02.990882944;129;248.86;0.1;BUY
2019-06-08T00:00:06.276000000;2019-06-08T00:00:02.990882944;141;248.77;0.04864;SELL
2019-06-08T00:00:06.746000000;2019-06-08T00:00:02.990882944;158;248.79;1.23575;SELL
2019-06-08T00:00:06.751000000;2019-06-08T00:00:02.990882944;159;248.85;1.62925;BUY
2019-06-08T00:00:09.236000000;2019-06-08T00:00:02.990882944;226;248.77;0.04811;SELL
2019-06-08T00:00:12.497000000;2019-06-08T00:00:02.990882944;321;248.77;0.04582;SELL
2019-06-08T00:00:13.675000000;2019-06-08T00:00:02.990882944;362;248.83;1.38727;BUY
2019-06-08T00:00:16.705000000;2019-06-08T00:00:17.005252538;413;248.83;0.04849;SELL
2019-06-08T00:00:17.001000000;2019-06-08T00:00:17.005252538;424;248.83;0.95151;SELL
2019-06-08T00:00:18.342000000;2019-06-08T00:00:18.405191221;505;248.77;0.3212;SELL
2019-06-08T00:00:18.573000000;2019-06-08T00:00:18.594310432;532;248.78;4.46166;BUY
2019-06-08T00:00:19.632000000;2019-06-08T00:00:19.657183892;573;248.74;4;SELL
2019-06-08T00:00:19.658000000;2019-06-08T00:00:19.681153822;574;248.73;0.05;SELL
2019-06-08T00:00:19.658000000;2019-06-08T00:00:19.681153822;575;248.73;1.2061;SELL
2019-06-08T00:00:20.127000000;2019-06-08T00:00:20.237211144;642;248.73;3e-05;SELL
2019-06-08T00:00:20.127000000;2019-06-08T00:00:20.237211144;643;248.72;0.36976;SELL
2019-06-08T00:00:20.148000000;2019-06-08T00:00:20.238731687;647;248.71;0.13671;SELL
2019-06-08T00:00:20.148000000;2019-06-08T00:00:20.238731687;648;248.71;0.11354;SELL
2019-06-08T00:00:20.148000000;2019-06-08T00:00:20.238731687;649;248.7;0.081;SELL
2019-06-08T00:00:20.151000000;2019-06-08T00:00:20.243678458;650;248.7;4.919;SELL
2019-06-08T00:00:20.189000000;2019-06-08T00:00:20.269187034;651;248.69;0.06084;SELL
2019-06-08T00:00:20.189000000;2019-06-08T00:00:20.269187034;652;248.68;0.03906;SELL
2019-06-08T00:00:20.683000000;2019-06-08T00:00:20.717214158;673;248.68;0.17235;SELL
2019-06-08T00:00:20.683000000;2019-06-08T00:00:20.717214158;674;248.67;0.15289;SELL
2019-06-08T00:00:20.878000000;2019-06-08T00:00:20.909181343;716;248.67;0.08851;SELL
2019-06-08T00:00:20.935000000;2019-06-08T00:00:20.956685535;722;248.67;0.04854;SELL
2019-06-08T00:00:21.887000000;2019-06-08T00:00:21.907912654;790;248.67;0.33083;SELL
2019-06-08T00:00:22.276000000;2019-06-08T00:00:22.327556345;822;248.67;0.13445;SELL
2019-06-08T00:00:22.564000000;2019-06-08T00:00:22.593232448;827;248.67;1.41963;SELL
2019-06-08T00:00:23.261000000;2019-06-08T00:00:23.320517355;863;248.67;0.23461;SELL
2019-06-08T00:00:23.355000000;2019-06-08T00:00:23.416751625;868;248.67;2.59032;SELL
2019-06-08T00:00:24.215000000;2019-06-08T00:00:24.278183861;889;248.72;0.51563;BUY
2019-06-08T00:00:24.520000000;2019-06-08T00:00:24.577225043;917;248.67;0.00022;SELL
2019-06-08T00:00:24.520000000;2019-06-08T00:00:24.577225043;918;248.67;0.56478;SELL
2019-06-08T00:00:24.666000000;2019-06-08T00:00:24.688035831;928;248.73;0.04423;BUY
2019-06-08T00:00:25.140000000;2019-06-08T00:00:25.241031704;964;248.64;0.04823;SELL
2019-06-08T00:00:25.259000000;2019-06-08T00:00:25.366984375;985;248.64;1.57418;SELL
2019-06-08T00:00:25.456000000;2019-06-08T00:00:25.507999745;1007;248.64;0.0646;SELL
2019-06-08T00:00:27.001000000;2019-06-08T00:00:27.041560130;1049;248.65;1;BUY
2019-06-08T00:00:27.712000000;2019-06-08T00:00:27.735174738;1084;248.65;0.471;BUY
2019-06-08T00:00:27.915000000;2019-06-08T00:00:27.941240713;1095;248.65;0.48202;BUY
2019-06-08T00:00:28.314000000;2019-06-08T00:00:28.367215525;1117;248.64;0.256;SELL
2019-06-08T00:00:28.482000000;2019-06-08T00:00:28.535821735;1128;248.64;0.684;SELL
2019-06-08T00:00:28.804000000;2019-06-08T00:00:28.825247554;1137;248.66;0.14312;BUY
2019-06-08T00:00:29.004000000;2019-06-08T00:00:29.039440138;1146;248.64;1.625;SELL
2019-06-08T00:00:29.615000000;2019-06-08T00:00:29.635793218;1201;248.64;2.781;SELL
2019-06-08T00:00:29.852000000;2019-06-08T00:00:29.874228605;1234;248.64;0.672;SELL
2019-06-08T00:00:29.878000000;2019-06-08T00:00:29.899218915;1235;248.64;0.29499;SELL
2019-06-08T00:00:30.111000000;2019-06-08T00:00:30.208749952;1240;248.64;1;BUY
2019-06-08T00:00:30.222000000;2019-06-08T00:00:30.287404219;1248;248.64;1;BUY
2019-06-08T00:00:30.298000000;2019-06-08T00:00:30.350272686;1259;248.64;0.04425;BUY
2019-06-08T00:00:31.369000000;2019-06-08T00:00:31.422740383;1325;248.62;0.04462;SELL
2019-06-08T00:00:32.762000000;2019-06-08T00:00:32.783931877;1390;248.62;0.02837;SELL
2019-06-08T00:00:32.762000000;2019-06-08T00:00:32.784565279;1391;248.62;0.40351;SELL
2019-06-08T00:00:32.762000000;2019-06-08T00:00:32.784881622;1392;248.62;0.11354;SELL
2019-06-08T00:00:33.001000000;2019-06-08T00:00:33.039295538;1404;248.6;0.29826;SELL
2019-06-08T00:00:33.001000000;2019-06-08T00:00:33.039295538;1405;248.6;0.70026;SELL
2019-06-08T00:00:33.472000000;2019-06-08T00:00:33.516090555;1445;248.57;0.04826;SELL
2019-06-08T00:00:34.028000000;2019-06-08T00:00:34.049136246;1471;248.58;1.75449;BUY
2019-06-08T00:00:34.266000000;2019-06-08T00:00:34.319754280;1485;248.57;0.00486;SELL
